[2025-10-17 05:07:05] User: admin (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:39] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:39] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:40] User: admin (admin) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:45] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:45] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:47] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:51] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:51] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:53] User: admin (admin) | Page: user_management | Status: ALLOWED | IP: ::1
[2025-10-17 06:17:33] User: admin (admin) | Page: user_management | Status: ALLOWED | IP: ::1
[2025-10-17 06:18:16] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:18:19] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-25 22:14:12] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-25 22:14:52] User: admin (admin) | Page: user_management | Status: ALLOWED | IP: ::1
[2025-10-25 22:40:57] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-25 22:41:03] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-25 22:41:03] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-26 07:49:26] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:49:31] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:49:31] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:49:40] User: admin (admin) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-26 07:49:43] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:49:43] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:49:45] User: admin (admin) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-26 07:49:48] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 07:50:03] User: admin (admin) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-26 07:50:06] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 07:50:47] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 07:50:53] User: admin (admin) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-26 07:50:56] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 07:50:59] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:50:59] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:51:03] User: admin (admin) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-26 07:52:15] User: admin (admin) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-26 07:52:18] User: admin (admin) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-26 07:52:50] User: admin (admin) | Page: delete_room | Status: ALLOWED | IP: ::1
[2025-10-26 07:52:56] User: admin (admin) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-26 07:52:58] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:52:58] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:30] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:38] User: manager (manager) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:38] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:40] User: manager (manager) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:45] User: manager (manager) | Page: payment | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:48] User: manager (manager) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:48] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:52] User: manager (manager) | Page: profit | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:55] User: manager (manager) | Page: payment | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:56] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:53:56] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:54:48] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:17] User: staff (staff) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:17] User: staff (staff) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:21] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:22] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:23] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:25] User: staff (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:39] User: staff (staff) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:39] User: staff (staff) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:43] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:43] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:46] User: staff (staff) | Page: add_room | Status: DENIED | IP: ::1
[2025-10-26 07:55:53] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-26 07:55:53] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
